X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
1.60466,-2.40877
1.60466,-3.90215
1.60467,-4.80147
1.60468,-4.9698
1.60468,-4.38153
1.60469,-3.12621
1.6047,-1.39496
1.6047,0.548671
1.60471,2.40877
1.60471,3.90215
1.60472,4.80147
1.60473,4.9698
1.60473,4.38153
1.60474,3.12621
1.60475,1.39496
1.60475,-0.548671
1.60476,-2.40877
1.60476,-3.90215
1.60477,-4.80147
1.60478,-4.9698
1.60478,-4.38153
1.60479,-3.12621
1.6048,-1.39496
1.6048,0.548671
1.60481,2.40877
1.60481,3.90215
1.60482,4.80147
1.60483,4.9698
1.60483,4.38153
1.60484,3.12621
1.60485,1.39496
1.60485,-0.548671
1.60486,-2.40877
1.60486,-3.90215
1.60487,-4.80147
1.60488,-4.9698
1.60488,-4.38153
1.60489,-3.12621
1.6049,-1.39496
1.6049,0.548671
1.60491,2.40877
1.60491,3.90215
1.60492,4.80147
1.60493,4.9698
1.60493,4.38153
1.60494,3.12621
1.60495,1.39496
1.60495,-0.548671
1.60496,-2.40877
1.60496,-3.90215
1.60497,-4.80147
1.60498,-4.9698
1.60498,-4.38153
1.60499,-3.12621
1.605,-1.39496
1.605,0.548671
1.60501,2.40877
1.60501,3.90215
1.60502,4.80147
1.60503,4.9698
1.60503,4.38153
1.60504,3.12621
1.60505,1.39496
1.60505,-0.548671
1.60506,-2.40877
1.60506,-3.90215
1.60507,-4.80147
1.60508,-4.9698
1.60508,-4.38153
1.60509,-3.12621
1.6051,-1.39496
1.6051,0.548671
1.60511,2.40877
1.60511,3.90215
1.60512,4.80147
1.60513,4.9698
1.60513,4.38153
1.60514,3.12621
1.60515,1.39496
1.60515,-0.548671
1.60516,-2.40877
1.60516,-3.90215
1.60517,-4.80147
1.60518,-4.9698
1.60518,-4.38153
1.60519,-3.12621
1.6052,-1.39496
1.6052,0.548671
1.60521,2.40877
1.60521,3.90215
1.60522,4.80147
1.60523,4.9698
1.60523,4.38153
1.60524,3.12621
1.60525,1.39496
1.60525,-0.548671
1.60526,-2.40877
1.60526,-3.90215
1.60527,-4.80147
1.60528,-4.9698
1.60528,-4.38153
1.60529,-3.12621
1.6053,-1.39496
1.6053,0.548671
1.60531,2.40877
1.60531,3.90215
1.60532,4.80147
1.60533,4.9698
1.60533,4.38153
1.60534,3.12621
1.60535,1.39496
1.60535,-0.548671
1.60536,-2.40877
1.60536,-3.90215
1.60537,-4.80147
1.60538,-4.9698
1.60538,-4.38153
1.60539,-3.12621
1.6054,-1.39496
1.6054,0.548671
1.60541,2.40877
1.60541,3.90215
1.60542,4.80147
1.60543,4.9698
1.60543,4.38153
1.60544,3.12621
1.60545,1.39496
1.60545,-0.548671
1.60546,-2.40877
1.60546,-3.90215
1.60547,-4.80147
1.60548,-4.9698
1.60548,-4.38153
1.60549,-3.12621
1.6055,-1.39496
1.6055,0.548671
1.60551,2.40877
1.60551,3.90215
1.60552,4.80147
1.60553,4.9698
1.60553,4.38153
1.60554,3.12621
1.60555,1.39496
1.60555,-0.548671
1.60556,-2.40877
1.60556,-3.90215
1.60557,-4.80147
1.60558,-4.9698
1.60558,-4.38153
1.60559,-3.12621
1.6056,-1.39496
1.6056,0.548671
1.60561,2.40877
1.60561,3.90215
1.60562,4.80147
1.60563,4.9698
1.60563,4.38153
1.60564,3.12621
1.60565,1.39496
1.60565,-0.548671
1.60566,-2.40877
1.60566,-3.90215
1.60567,-4.80147
1.60568,-4.9698
1.60568,-4.38153
1.60569,-3.12621
1.6057,-1.39496
1.6057,0.548671
1.60571,2.40877
1.60571,3.90215
1.60572,4.80147
1.60573,4.9698
1.60573,4.38153
1.60574,3.12621
1.60575,1.39496
1.60575,-0.548671
1.60576,-2.40877
1.60576,-3.90215
1.60577,-4.80147
1.60578,-4.9698
1.60578,-4.38153
1.60579,-3.12621
1.6058,-1.39496
1.6058,0.548671
1.60581,2.40877
1.60581,3.90215
1.60582,4.80147
1.60583,4.9698
1.60583,4.38153
1.60584,3.12621
1.60585,1.39496
1.60585,-0.548671
1.60586,-2.40877
1.60586,-3.90215
1.60587,-4.80147
1.60588,-4.9698
1.60588,-4.38153
1.60589,-3.12621
1.6059,-1.39496
1.6059,0.548671
1.60591,2.40877
1.60591,3.90215
1.60592,4.80147
1.60593,4.9698
1.60593,4.38153
1.60594,3.12621
1.60595,1.39496
1.60595,-0.548671
1.60596,-2.40877
1.60596,-3.90215
1.60597,-4.80147
1.60598,-4.9698
1.60598,-4.38153
1.60599,-3.12621
1.606,-1.39496
1.606,0.548671
1.60601,2.40877
1.60601,3.90215
1.60602,4.80147
1.60603,4.9698
1.60603,4.38153
1.60604,3.12621
1.60605,1.39496
1.60605,-0.548671
1.60606,-2.40877
1.60606,-3.90215
1.60607,-4.80147
1.60608,-4.9698
1.60608,-4.38153
1.60609,-3.12621
1.6061,-1.39496
1.6061,0.548671
1.60611,2.40877
1.60611,3.90215
1.60612,4.80147
1.60613,4.9698
1.60613,4.38153
1.60614,3.12621
1.60615,1.39496
1.60615,-0.548671
1.60616,-2.40877
1.60616,-3.90215
1.60617,-4.80147
1.60618,-4.9698
1.60618,-4.38153
1.60619,-3.12621
1.6062,-1.39496
1.6062,0.548671
1.60621,2.40877
1.60621,3.90215
1.60622,4.80147
1.60623,4.9698
1.60623,4.38153
1.60624,3.12621
1.60625,1.39496
1.60625,-0.548671
1.60626,-2.40877
1.60626,-3.90215
1.60627,-4.80147
1.60628,-4.9698
1.60628,-4.38153
1.60629,-3.12621
1.6063,-1.39496
1.6063,0.548671
1.60631,2.40877
1.60631,3.90215
1.60632,4.80147
1.60633,4.9698
1.60633,4.38153
1.60634,3.12621
1.60635,1.39496
1.60635,-0.548671
1.60636,-2.40877
1.60636,-3.90215
1.60637,-4.80147
1.60638,-4.9698
1.60638,-4.38153
1.60639,-3.12621
1.6064,-1.39496
1.6064,0.548671
1.60641,2.40877
1.60641,3.90215
1.60642,4.80147
1.60643,4.9698
1.60643,4.38153
1.60644,3.12621
1.60645,1.39496
1.60645,-0.548671
1.60646,-2.40877
1.60646,-3.90215
1.60647,-4.80147
1.60648,-4.9698
1.60648,-4.38153
1.60649,-3.12621
1.6065,-1.39496
1.6065,0.548671
1.60651,2.40877
1.60651,3.90215
1.60652,4.80147
1.60653,4.9698
1.60653,4.38153
1.60654,3.12621
1.60655,1.39496
1.60655,-0.548671
1.60656,-2.40877
1.60656,-3.90215
1.60657,-4.80147
1.60658,-4.9698
1.60658,-4.38153
1.60659,-3.12621
1.6066,-1.39496
1.6066,0.548671
1.60661,2.40877
1.60661,3.90215
1.60662,4.80147
1.60663,4.9698
1.60663,4.38153
1.60664,3.12621
1.60665,1.39496
1.60665,-0.548671
1.60666,-2.40877
1.60666,-3.90215
1.60667,-4.80147
1.60668,-4.9698
1.60668,-4.38153
1.60669,-3.12621
1.6067,-1.39496
1.6067,0.548671
1.60671,2.40877
1.60671,3.90215
1.60672,4.80147
1.60673,4.9698
1.60673,4.38153
1.60674,3.12621
1.60675,1.39496
1.60675,-0.548671
1.60676,-2.40877
1.60676,-3.90215
1.60677,-4.80147
1.60678,-4.9698
1.60678,-4.38153
1.60679,-3.12621
1.6068,-1.39496
1.6068,0.548671
1.60681,2.40877
1.60681,3.90215
1.60682,4.80147
1.60683,4.9698
1.60683,4.38153
1.60684,3.12621
1.60685,1.39496
1.60685,-0.548671
1.60686,-2.40877
1.60686,-3.90215
1.60687,-4.80147
1.60688,-4.9698
1.60688,-4.38153
1.60689,-3.12621
1.6069,-1.39496
1.6069,0.548671
1.60691,2.40877
1.60691,3.90215
1.60692,4.80147
1.60693,4.9698
1.60693,4.38153
1.60694,3.12621
1.60695,1.39496
1.60695,-0.548671
1.60696,-2.40877
1.60696,-3.90215
1.60697,-4.80147
1.60698,-4.9698
1.60698,-4.38153
1.60699,-3.12621
1.607,-1.39496
1.607,0.548671
1.60701,2.40877
1.60701,3.90215
1.60702,4.80147
1.60703,4.9698
1.60703,4.38153
1.60704,3.12621
1.60705,1.39496
1.60705,-0.548671
1.60706,-2.40877
1.60706,-3.90215
1.60707,-4.80147
1.60708,-4.9698
1.60708,-4.38153
1.60709,-3.12621
1.6071,-1.39496
1.6071,0.548671
1.60711,2.40877
1.60711,3.90215
1.60712,4.80147
1.60713,4.9698
1.60713,4.38153
1.60714,3.12621
1.60715,1.39496
1.60715,-0.548671
1.60716,-2.40877
1.60716,-3.90215
1.60717,-4.80147
1.60718,-4.9698
1.60718,-4.38153
1.60719,-3.12621
1.6072,-1.39496
1.6072,0.548671
1.60721,2.40877
1.60721,3.90215
1.60722,4.80147
1.60723,4.9698
1.60723,4.38153
1.60724,3.12621
1.60725,1.39496
1.60725,-0.548671
1.60726,-2.40877
1.60726,-3.90215
1.60727,-4.80147
1.60728,-4.9698
1.60728,-4.38153
1.60729,-3.12621
1.6073,-1.39496
1.6073,0.548671
1.60731,2.40877
1.60731,3.90215
1.60732,4.80147
1.60733,4.9698
1.60733,4.38153
1.60734,3.12621
1.60735,1.39496
1.60735,-0.548671
1.60736,-2.40877
1.60736,-3.90215
1.60737,-4.80147
1.60738,-4.9698
1.60738,-4.38153
1.60739,-3.12621
1.6074,-1.39496
1.6074,0.548671
