X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0159282,-0.903892,,0.0159282,0.0508626
0.0159288,-0.671391,,0.0159288,0.0359305
0.0159295,-0.336677,,0.0159295,0.0156792
0.0159301,0.0492939,,0.0159301,-0.00681434
0.0159307,0.42776,,0.0159307,-0.0281289
0.0159313,0.741103,,0.0159313,-0.0450164
0.015932,0.94162,,0.015932,-0.0549
0.0159326,0.998784,,0.0159326,-0.0562728
0.0159332,0.903892,,0.0159332,-0.0489286
0.0159338,0.671391,,0.0159338,-0.0339894
0.0159345,0.336677,,0.0159345,-0.0137299
0.0159351,-0.0492939,,0.0159351,0.00876798
0.0159357,-0.42776,,0.0159357,0.0300806
0.0159363,-0.741103,,0.0159363,0.046961
0.015937,-0.94162,,0.015937,0.0568365
0.0159376,-0.998784,,0.0159376,0.058205
0.0159382,-0.903892,,0.0159382,0.0508626
0.0159388,-0.671391,,0.0159388,0.0359305
0.0159395,-0.336677,,0.0159395,0.0156792
0.0159401,0.0492939,,0.0159401,-0.00681434
0.0159407,0.42776,,0.0159407,-0.0281289
0.0159413,0.741103,,0.0159413,-0.0450164
0.015942,0.94162,,0.015942,-0.0549
0.0159426,0.998784,,0.0159426,-0.0562728
0.0159432,0.903892,,0.0159432,-0.0489286
0.0159438,0.671391,,0.0159438,-0.0339894
0.0159445,0.336677,,0.0159445,-0.0137299
0.0159451,-0.0492939,,0.0159451,0.00876798
0.0159457,-0.42776,,0.0159457,0.0300806
0.0159463,-0.741103,,0.0159463,0.046961
0.015947,-0.94162,,0.015947,0.0568365
0.0159476,-0.998784,,0.0159476,0.058205
0.0159482,-0.903892,,0.0159482,0.0508626
0.0159488,-0.671391,,0.0159488,0.0359305
0.0159495,-0.336677,,0.0159495,0.0156792
0.0159501,0.0492939,,0.0159501,-0.00681434
0.0159507,0.42776,,0.0159507,-0.0281289
0.0159513,0.741103,,0.0159513,-0.0450164
0.015952,0.94162,,0.015952,-0.0549
